application_type,case_received_date,decision_date,case_status,class_of_admission,employer_name,employer_city,employer_state,employer_country,foreign_worker_info_birth_country,foreign_worker_info_city,foreign_worker_info_education,foreign_worker_info_state,job_info_work_city,job_info_work_state
ONLINE,26-02-2015,02-09-2015,Certified,H-1B,Community Coffee LLC,Baton Rouge,LOUISIANA,UNITED STATES OF AMERICA,INDIA,BATON ROUGE,Master's,LOUISIANA,Baton Rouge,LOUISIANA
ONLINE,09-01-2015,10-08-2015,Certified,H-1B,Doctors Charter School of Miami Shores,Miami Shores,FLORIDA,UNITED STATES OF AMERICA,MACEDONIA,MIAMI BEACH,Master's,FLORIDA,Miami Shores,FLORIDA
ONLINE,05-02-2015,02-09-2015,Certified,H-1B,QUALCOMM TECHNOLOGIES INC.,SAN DIEGO,CALIFORNIA,UNITED STATES OF AMERICA,INDIA,MORRISVILLE,Master's,NORTH CAROLINA,Raleigh,NORTH CAROLINA
ONLINE,20-01-2015,05-08-2015,Certified,,INTERNATIONAL RAGS LTD,HOUSTON,TEXAS,UNITED STATES OF AMERICA,PAKISTAN,SUGAR LAND,Master's,TEXAS,Houston,TEXAS
ONLINE,17-02-2015,03-09-2015,Certified,H-1B,SHINEWELL TECHNOLOGIES INC.,IRVING,TEXAS,UNITED STATES OF AMERICA,INDIA,GRAND BLANC,Bachelor's,MICHIGAN,Irving,TEXAS
ONLINE,20-01-2015,18-08-2015,Certified,H-1B,"ORS BEARINGS, INC.",COVINGTON,GEORGIA,UNITED STATES OF AMERICA,TURKEY,CONYERS,Master's,GEORGIA,Covington,GEORGIA
ONLINE,11-03-2015,07-08-2015,Withdrawn,H-1B,"ATKINS NORTH AMERICA, INC",MINNEAPOLIS,MINNESOTA,UNITED STATES OF AMERICA,INDIA,TEMPE,Master's,ARIZONA,Phoenix,ARIZONA
ONLINE,08-01-2015,31-07-2015,Certified,,"LB PORK, INC.",Fairmont,MINNESOTA,UNITED STATES OF AMERICA,UKRAINE,CHECHELNIK,High School,,Fairmont,MINNESOTA
ONLINE,21-02-2015,11-09-2015,Certified,H-1B,INTACCT CORP,SAN JOSE,CALIFORNIA,UNITED STATES OF AMERICA,INDIA,SANTA CLARA,Master's,CALIFORNIA,San Jose,CALIFORNIA
ONLINE,19-02-2015,01-09-2015,Certified,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,COLLEGE STATION,TEXAS,UNITED STATES OF AMERICA,INDIA,MANCHESTER,Bachelor's,CONNECTICUT,College Station,TEXAS
ONLINE,18-02-2015,10-09-2015,Certified,H-1B,"WIKIMEDIA FOUNDATION, INC.",SAN FRANCISCO,CALIFORNIA,UNITED STATES OF AMERICA,UNITED KINGDOM,SAN FRANCISCO,Bachelor's,CALIFORNIA,San Francisco,CALIFORNIA
